dataset_metric,model,accuracy_mean,accuracy_std,precision_mean,precision_std,recall_mean,recall_std,f1_mean,f1_std,auc_mean,auc_std,ap_mean,ap_std,base_dataset,num_nodes,num_edges,avg_degree,density,avg_clustering,assortativity,diameter,homophily,bc_mean,bc_max,bc_std,cc_mean,cc_max,cc_std,ec_mean,ec_max,ec_std,pr_mean,pr_max,pr_std
Synthetic Classification,GPT-GNN,0.319,0.0309030742807248,0.3366216250242559,0.0461733645120843,0.3211011447297126,0.0413218209872875,0.294122316935072,0.0433615002025095,0.6821685711117664,0.0252899991383105,,,Synthetic,945,1495,3.164021164021164,0.0033517173347681,0.0028605022255815,-0.0396346946223707,14,0.2086666673421859,0.0056124316989388,0.03970642603367,0.0058697461422875,0.1606164687710135,0.1996193698456333,0.0160380033873769,0.0241613712265983,0.1798384181945752,0.0217929294027952,0.001058201058201,0.0028000531172148,0.0004310303592358
Synthetic Classification,GraphSAGE,0.716,0.0277037903543901,0.7181689307942298,0.0322805727205573,0.7131476799021459,0.0293097661978513,0.7124599806019523,0.0311845966672346,,,,,Synthetic,945,1495,3.164021164021164,0.0033517173347681,0.0028605022255815,-0.0396346946223707,14,0.2086666673421859,0.0056124316989388,0.03970642603367,0.0058697461422875,0.1606164687710135,0.1996193698456333,0.0160380033873769,0.0241613712265983,0.1798384181945752,0.0217929294027952,0.001058201058201,0.0028000531172148,0.0004310303592358
Synthetic Classification,SimpleGAT,0.417,0.0321325380261192,0.415042087662384,0.0290723750739866,0.4165977471272929,0.0363463636766498,0.4088634981394901,0.0307407040958953,,,,,Synthetic,945,1495,3.164021164021164,0.0033517173347681,0.0028605022255815,-0.0396346946223707,14,0.2086666673421859,0.0056124316989388,0.03970642603367,0.0058697461422875,0.1606164687710135,0.1996193698456333,0.0160380033873769,0.0241613712265983,0.1798384181945752,0.0217929294027952,0.001058201058201,0.0028000531172148,0.0004310303592358
Synthetic Classification,SimpleGNN,0.422,0.0391471582621267,0.4288929100435312,0.0478172132200084,0.420117807504832,0.0397563282628724,0.4159158616376165,0.0404515100321503,,,,,Synthetic,945,1495,3.164021164021164,0.0033517173347681,0.0028605022255815,-0.0396346946223707,14,0.2086666673421859,0.0056124316989388,0.03970642603367,0.0058697461422875,0.1606164687710135,0.1996193698456333,0.0160380033873769,0.0241613712265983,0.1798384181945752,0.0217929294027952,0.001058201058201,0.0028000531172148,0.0004310303592358
Synthetic Classification,StructuralGCN,0.2802,0.0256066397639362,0.1714555794805417,0.0463192316679563,0.2711520906629227,0.02494448988565,0.196238262032644,0.0404229045530421,0.6026194100456674,0.0209721915990846,,,Synthetic,945,1495,3.164021164021164,0.0033517173347681,0.0028605022255815,-0.0396346946223707,14,0.2086666673421859,0.0056124316989388,0.03970642603367,0.0058697461422875,0.1606164687710135,0.1996193698456333,0.0160380033873769,0.0241613712265983,0.1798384181945752,0.0217929294027952,0.001058201058201,0.0028000531172148,0.0004310303592358
Synthetic Classification,StructuralGNN,0.731,0.0204328167417025,0.7278141614138763,0.0174443845852724,0.7317816621451236,0.0175090833211394,0.7272185946618245,0.0176329454250944,,,,,Synthetic,945,1495,3.164021164021164,0.0033517173347681,0.0028605022255815,-0.0396346946223707,14,0.2086666673421859,0.0056124316989388,0.03970642603367,0.0058697461422875,0.1606164687710135,0.1996193698456333,0.0160380033873769,0.0241613712265983,0.1798384181945752,0.0217929294027952,0.001058201058201,0.0028000531172148,0.0004310303592358
Synthetic Link Prediction,GPT-GNN,0.4876666666666667,0.0193505670315999,0.46010203091079,0.0544220038737305,0.178,0.0547519659718057,0.2550831536370908,0.0649588147396188,0.4460288888888889,0.0305534641708514,0.4793590337757598,0.0188567115414442,Synthetic,945,1495,3.164021164021164,0.0033517173347681,0.0028605022255815,-0.0396346946223707,14,0.2086666673421859,0.0056124316989388,0.03970642603367,0.0058697461422875,0.1606164687710135,0.1996193698456333,0.0160380033873769,0.0241613712265983,0.1798384181945752,0.0217929294027952,0.001058201058201,0.0028000531172148,0.0004310303592358
Synthetic Link Prediction,GraphSAGE,0.6664,0.0127935530639459,0.6267328704422797,0.0094207739242878,0.8228,0.0148895936814944,0.7115025717229909,0.0115485652349803,0.7451427,0.0167045389849585,0.7376653362768206,0.0199237851539171,Synthetic,945,1495,3.164021164021164,0.0033517173347681,0.0028605022255815,-0.0396346946223707,14,0.2086666673421859,0.0056124316989388,0.03970642603367,0.0058697461422875,0.1606164687710135,0.1996193698456333,0.0160380033873769,0.0241613712265983,0.1798384181945752,0.0217929294027952,0.001058201058201,0.0028000531172148,0.0004310303592358
Synthetic Link Prediction,SimpleGAT,0.6711,0.010807404868885,0.6279270787555318,0.0089141570773708,0.8402,0.0152545075305628,0.7186611123081914,0.0091291353626194,0.7370278,0.0096901970929388,0.7060722518422382,0.0104173074087983,Synthetic,945,1495,3.164021164021164,0.0033517173347681,0.0028605022255815,-0.0396346946223707,14,0.2086666673421859,0.0056124316989388,0.03970642603367,0.0058697461422875,0.1606164687710135,0.1996193698456333,0.0160380033873769,0.0241613712265983,0.1798384181945752,0.0217929294027952,0.001058201058201,0.0028000531172148,0.0004310303592358
Synthetic Link Prediction,SimpleGNN,0.6554,0.0111265448365609,0.6188262502076466,0.0098019949064644,0.8098000000000001,0.0066858058601786,0.7015232684690262,0.007899536846613,0.7203329,0.0087085944574885,0.699456762443653,0.0120747154583191,Synthetic,945,1495,3.164021164021164,0.0033517173347681,0.0028605022255815,-0.0396346946223707,14,0.2086666673421859,0.0056124316989388,0.03970642603367,0.0058697461422875,0.1606164687710135,0.1996193698456333,0.0160380033873769,0.0241613712265983,0.1798384181945752,0.0217929294027952,0.001058201058201,0.0028000531172148,0.0004310303592358
Synthetic Link Prediction,StructuralGCN,0.6151,0.0083845095265018,0.5860642331732853,0.0127219222178108,0.7918000000000001,0.072980819397976,0.671975563173812,0.0189985678322642,0.6580997,0.0130419731952262,0.6326372238788169,0.0147969724011235,Synthetic,945,1495,3.164021164021164,0.0033517173347681,0.0028605022255815,-0.0396346946223707,14,0.2086666673421859,0.0056124316989388,0.03970642603367,0.0058697461422875,0.1606164687710135,0.1996193698456333,0.0160380033873769,0.0241613712265983,0.1798384181945752,0.0217929294027952,0.001058201058201,0.0028000531172148,0.0004310303592358
Synthetic Link Prediction,StructuralGNN,0.8195555555555556,0.0681800448703175,0.9905946034678262,0.0044575519449007,0.6448888888888888,0.1348927328758522,0.7751862900143888,0.0956941991001754,0.9922162962962964,0.0040872937784475,0.9884041060655656,0.007395990399412,Synthetic,945,1495,3.164021164021164,0.0033517173347681,0.0028605022255815,-0.0396346946223707,14,0.2086666673421859,0.0056124316989388,0.03970642603367,0.0058697461422875,0.1606164687710135,0.1996193698456333,0.0160380033873769,0.0241613712265983,0.1798384181945752,0.0217929294027952,0.001058201058201,0.0028000531172148,0.0004310303592358
Facebook Classification,GPT-GNN,0.3987093902981753,0.014072804061115,0.2005654814284855,0.007490978530611,0.3303649262800293,0.0096767693822217,0.2467427902098581,0.0083487662187113,0.6467181669928037,0.0119901374648018,,,Facebook,22470,171002,15.220471740097908,0.000677398715568,0.3597383824426949,0.0850580210573631,15,0.885439932346344,0.0001768605826322,0.1157896103328358,0.0012502663645538,0.2056618861687242,0.3241578301954844,0.0296877158179226,0.0013117296614051,0.1778170733731062,0.0065410283758443,4.450378282153983e-05,0.0013222997573515,4.734847229982557e-05
Facebook Classification,GraphSAGE,0.8953271028037383,0.0048563191778052,0.8994011840176317,0.0036418946282101,0.8825208305060599,0.0060593383305158,0.8894824500794964,0.0053316919031946,,,,,Facebook,22470,171002,15.220471740097908,0.000677398715568,0.3597383824426949,0.0850580210573631,15,0.885439932346344,0.0001768605826322,0.1157896103328358,0.0012502663645538,0.2056618861687242,0.3241578301954844,0.0296877158179226,0.0013117296614051,0.1778170733731062,0.0065410283758443,4.450378282153983e-05,0.0013222997573515,4.734847229982557e-05
Facebook Classification,SimpleGAT,0.8694259012016021,0.0071160839005487,0.8762942755091865,0.0055480921964211,0.8540027815959921,0.0075997091494557,0.8626170374122915,0.0070332692966235,,,,,Facebook,22470,171002,15.220471740097908,0.000677398715568,0.3597383824426949,0.0850580210573631,15,0.885439932346344,0.0001768605826322,0.1157896103328358,0.0012502663645538,0.2056618861687242,0.3241578301954844,0.0296877158179226,0.0013117296614051,0.1778170733731062,0.0065410283758443,4.450378282153983e-05,0.0013222997573515,4.734847229982557e-05
Facebook Classification,SimpleGNN,0.8879839786381842,0.0043308377839619,0.8960156059095216,0.0032695678041858,0.8719232675599562,0.0044761984378221,0.8813183798324238,0.0041449722632876,,,,,Facebook,22470,171002,15.220471740097908,0.000677398715568,0.3597383824426949,0.0850580210573631,15,0.885439932346344,0.0001768605826322,0.1157896103328358,0.0012502663645538,0.2056618861687242,0.3241578301954844,0.0296877158179226,0.0013117296614051,0.1778170733731062,0.0065410283758443,4.450378282153983e-05,0.0013222997573515,4.734847229982557e-05
Facebook Classification,StructuralGCN,0.591473075211393,0.0821669559054328,0.4036955549701508,0.1094349043238114,0.5211157023067945,0.0804538234588199,0.4337280662040921,0.1050524312167597,0.8658679013472372,0.0433694679659717,,,Facebook,22470,171002,15.220471740097908,0.000677398715568,0.3597383824426949,0.0850580210573631,15,0.885439932346344,0.0001768605826322,0.1157896103328358,0.0012502663645538,0.2056618861687242,0.3241578301954844,0.0296877158179226,0.0013117296614051,0.1778170733731062,0.0065410283758443,4.450378282153983e-05,0.0013222997573515,4.734847229982557e-05
