dataset,pipeline,accuracy_mean,accuracy_std,precision_mean,precision_std,recall_mean,recall_std,f1_mean,f1_std,auc_mean,auc_std,ap_mean,ap_std,train_time_mean,train_time_std,classifier_time_mean,classifier_time_std,pretrain_time_mean,pretrain_time_std,link_pred_time_mean,link_pred_time_std
Synthetic Link Prediction,SimpleGNN,0.5152666666666667,0.013136886152272858,0.5142244073282258,0.012195140801164798,0.5526666666666668,0.01455258663529539,0.532728721625866,0.012736175421402807,0.5178561777777777,0.01590961052079702,0.5131423929842471,0.017451896351964775,0.7472318649291992,0.030009035484159386,0.0,0.0,,,0.7472318649291992,0.030009035484159386
Synthetic Link Prediction,SimpleGraphSAGE,0.5272116461366181,0.007157770875738243,0.525525824275098,0.006717975673669363,0.5602463605823068,0.008606972319715458,0.5423227889762717,0.007264429798531736,0.5434299246722988,0.007285355483819742,0.5365654052426766,0.006785691080742249,8.749869298934936,0.6072378924735754,0.0,0.0,0.0,0.0,8.749869298934936,0.6072378924735754
Synthetic Link Prediction,Struct-G Internal Classifier,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.620836660164503,0.01969688923000384,0.6080766126917785,0.018037709598728576,30.383923625946046,1.177201361793343,0.0,0.0,28.461539554595948,1.0825271590459384,1.9223840713500977,0.1894049609176148
Synthetic Link Prediction,Struct-G Structural Only Pretrain,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5701869520793466,0.01234857535205543,0.5545084680073481,0.01152706806495675,30.294743680953978,0.9975747007124731,0.0,0.0,28.332754468917848,0.8633606121594513,1.9619892120361329,0.8258526282678649
Facebook Classification,Deep GCN,0.5924432576769025,0.07861309743862327,0.4056014388662116,0.11494907501702446,0.5229054118897706,0.07599634288015876,0.4355403773038793,0.10163300864154885,0.8645215841145243,0.04440907004345783,,,0.7303826808929443,0.6477593654366687,0.18263168334960939,0.02293760962867416,0.547750997543335,0.6690654145085007,0.0,0.0
Facebook Classification,GPT-GNN,0.4129060970182466,0.015283178310779933,0.2872693041042847,0.08389779595393494,0.3429756042401852,0.012080103683731663,0.25841009791204395,0.007898242379238338,0.6607697756110948,0.016606647923236552,,,1042.2937561511992,17.989838343560486,2.185937738418579,0.23566928739564916,1040.1078184127805,17.796620582543078,0.0,0.0
Facebook Classification,SimpleGAT,0.8685358255451714,0.0023883236074764063,0.8770579693754315,0.0028863849641821747,0.8522457606922768,0.0027364414728806006,0.8615817914028557,0.0015249179649957836,,,,,0.39249496459960936,0.029547089649408494,0.39249496459960936,0.029547089649408494,,,0.0,0.0
Facebook Classification,SimpleGNN,0.8879839786381842,0.004330837783961906,0.8960156059095216,0.003269567804185888,0.8719232675599562,0.004476198437822146,0.8813183798324238,0.004144972263287634,,,,,1.6931852340698241,0.10936890897395093,1.6931852340698241,0.10936890897395093,,,0.0,0.0
Facebook Classification,SimpleGraphSAGE,0.8860703159768579,0.0023390961328024658,0.8919608542637117,0.0016852312200858123,0.8708603562325041,0.004848481654193278,0.8791492304444908,0.0037861672352413746,,,,,0.7669822216033936,0.06419199186838431,0.7669822216033936,0.06419199186838431,0.0,0.0,0.0,0.0
Facebook Classification,Struct-G Internal Classifier,0.949888740542946,0.010338632015202475,0.9498157177912976,0.008879397100163233,0.9461861849226445,0.01201779908482032,0.947839894518989,0.0105262875244578,,,,,61.367257833480835,2.9241934555658506,0.693310546875,0.048943856539941696,60.67394728660584,2.87766154943437,0.0,0.0
